,FP,Tweet
25,positive,"About that time I reapply to JCPenney lol"""
291,positive,Good design is pretty simple Got inspired by this piece for a project I’ll be working on today #gooddesign
126,negative,"SHAQ Very sharp Sir Bless."""
122,positive,"Shaq looking like the modern day Thanos"""
72,neutral,NYC VIBE joined Joe Jonas as he teamed up with JCPenney to spread holiday cheer See o\u2026 
66,positive,enter Travel Essentials giveaway to #Win items from Baby 
257,positive,That look on your face when you realize it's Friday has adorable looks like these available now If you’
141,positive,"You have an amazing heart Joseph"""
95,positive,Family Photo! Teaming up with to surprise kids from the NYC has been a major highlight for me alre\u2026 
108,positive,u201cFamily Photo! Teaming up with to surprise kids from the NYC has been a major highlight for me alr\u2026 
202,neutral,NYC VIBE joined Joe Jonas at JCPenney as he posed for pictures with fans.
229,negative,Pop Womens Deal Flat Sandals Distress #jcpenney #soworthit
138,negative,"Looking Sharp there Shaq \ud83d\ude09\ud83d\udc4d"""
75,neutral,En JCPenney (McAllen
105,neutral,It's time for holiday photos with Santa He'll be waiting for you at JCPenney Court To reserve your FastPass and\u2026 
263,positive,giving free gifts #InsideTheNBA #JCPenney if it’s free it’s for #Chuckster Donut
109,positive,"\u2018Tis the #SeasonOfShaq baby I spent a day in Dallas surprising Big &amp Tall guys with suits from my Shaquille O\u2019Neal XLG line \ud83d\udc54 an\u2026"""
199,neutral,Holiday Sale at JCPenney Save Up to 70 off Extra 20 25 off Today Only #jcpenney
226,negative,Framed Vintage 1902 JC Penney Advertising Store Memorabilia Art J.C Penney Collectible via
218,positive,Building dreams in Nashville tonight with two great guys and great players Thanks to ? ?
303,positive,So good I had to share Check out all the items I'm loving on from #poshmark
21,negative,I swear the reason is doing so horribly is bc their vendors suck The clothes are mad ugly
158,neutral,JCPenney Credit Card Features How to Apply How to Login 
255,neutral,#JCPenney Meet 'N Greet with for Girls Night In via #GNI #bbloggers #FlashbackFriday
304,neutral,habitually closes between10-30 minutes earlier than advertised/printed closing time.If
65,negative,Travis Kelce spent time with 25 YMCA kids at JCPenney last night \n\nYou\u2019re going to want to see this video\n\n
91,positive,\ud83c\udf89 110 Grill Grand Opening \ud83c\udf89\n\ud83d\udcc6 December 13\n\u23f0 400 pm\n\ud83d\udccd Located on the Upper Level near JCPenney\n#holyokemall \n\n
119,negative,Keeping my style game \ud83d\udcaf Shaquille O\u2019Neal XLG line exclusively at #AllAtJCP #Ad 
63,neutral,T Kenny Stills
281,positive,#WIN a $200 #JCPENNEY #GIFTCARD from #NBA star Shaquille O'Neal Shop #clothing #homedecor #toys #shoes and
87,neutral,"Taking jcpenney orders Tap in"""
130,positive,"Very nice!!"""
150,positive,What happens when one place doesn\u2019t help you You go to your favorite place
59,neutral,Huh Well
235,negative,Ultimate Green Monday Sale at JCPenney Up to 70 off Extra 25 to 30 off #jcpenney
10,positive,"Great piece from Energy Programs Manager Sal Alhelo #retail #EnergyEfficiency"""
116,neutral,"Annual Pearce Family portrait day at Wish me luck."""
117,neutral,regret ordering my mattress from JCP
240,positive,Paul Mitchell Christmas Joy Salon Display via #FixturesCloseUp
221,neutral,SistersSavingUCents Nike Men's &amp Women's Shoes 50%.Off At Jcpenny! #savings #sisters
79,neutral,While playing with investment $
208,positive,Ronni Nicole Sleeveless Fit #jcpenney #soworthit
225,positive,Really interesting to listen to the #WithoutFail podcast with Ron Johnson first and then li
241,neutral,Santa's Animated Elf Store Greeter via #FixturesCloseUp #RetailFixtures
64,negative,Travis Kelce spent time with 25 YMCA kids at JCPenney last night \n\nYou\u2019re going to want to see this video\n\n
35,neutral,"This could be use but we\u2019re all hibernating _x """
139,positive,"Very Sharp and clean my dude \ud83d\udc4c"""
165,neutral,So who is going to explain this Let\u2019s start with yeah I witnessed them throw\u2026 
230,positive,J.C Penney Buy one pair get two FREE boots
206,positive,This look is on our nice list #JCPenney #inTheAustintownPlaza
246,negative,We had an extremely disappointing experience at JC Penney West Grand Promenade location this afternoon in line 45
22,neutral,Hello Jayna
34,neutral,Staten Island Advance Historic Page from Oct 2
210,positive,"Make your #realestate mantra ""live work play &amp you'll see a massive redevelopment opportunity in vacant mall anc"
53,neutral,Was Pence there Wait a minute
237,positive,Check out M JC Penney Multicolor Mottled Geometric 3/4 Sleeve Knit Top #JCPenney #KnitTop via
187,neutral,JCPenney Women\u2019s Boots Buy One
184,positive,It\u2019s the Holidays and is here to make this season easier than ever with great gifts for everyone on your\u2026 
33,negative,"\""Ad\ JCPenney 14k Gold Twisted Hoops New In Box"
26,positive,Jcpenney Buy 1 Get 2 For Free \u2013 Kids\u2019 Shoes\u00a0! 
93,positive,Jcpenney Buy 1 Get 2 For Free Kids Shoes 
54,negative,"SPRING AHEAD FALL BEHIND CHANGE THOSE CLOCKS AND RAISE YOUR WARDROBE GAME RETWEET IF YOU\u2019RE READY TO BUY SOME NEW MS\u2026"""
