,FP,Tweet
0,neutral,"Got ours from JCPenny!"""
1,positive,SWEET DEAL Love Lives Forever 1\/2 CT T.W Round White Diamond 10K Gold 3-Stone Ring 
2,neutral,"\""The country has recorded 90 extinctions since European settlement\u201436 plants"
3,neutral,I bet once i go in JCpenny
4,positive,\ud83c\udf811998 JCPenney Holiday Catalog\n\u2014 Spice Girls Sound Stage 
5,negative,Worst place to shop online at is _us always saying item is back in stock &amp go to order it and says\u2026 
6,neutral,JCPenney Toy Book Deals List Is Ready!\n\n
7,negative,Out of stock (Odd since it\u2019s in stock again now a few hours later) They reached out and had\u2026 
8,positive,So awesome to build dreams in LA last night with and our great friend
9,neutral,Hello Tyrese
10,positive,"Great piece from Energy Programs Manager Sal Alhelo #retail #EnergyEfficiency"""
11,positive,A congregation that pays a pastor a JCPenney wage but expects his family to live like they shop at Anthroplogie has\u2026 
12,positive,". and teamed up to surprise 25 kids from YMCA of Greater Kansas City with a special visit and shopping s\u2026"""
13,positive,"A Classy Gentleman \u2764\ufe0f\ud83c\udfc8\u2764\ufe0f"""
14,positive,your customer service representative was very demeaning to me and grossly unhelpful I am very sa\u2026 
15,positive,Ronni Nicole Sleeveless Fit 
16,neutral,I added a video to a playlist 
17,neutral,Last week
18,positive,A Dreambuilders thank you to playmaker David Moore &amp the beautiful for teaming up with us and\u2026 
19,neutral,Last year I bought some fab things from JCPenney I gotta see what they have for this year so I can save some money\u2026 
20,neutral,#JCPenney\nPre-Holiday Price Drop Up To 70 OFF Select Styles 30 OFF Toys Shop and Save at JCPenney click here \n
21,negative,I swear the reason is doing so horribly is bc their vendors suck The clothes are mad ugly
22,neutral,Hello Jayna
23,positive,This look is on our nice list \u2705 #JCPenney #inTheAustintownPlaza 
24,positive,"Oh look Bret 49 feel free to block"""
25,positive,"About that time I reapply to JCPenney lol"""
26,positive,Jcpenney Buy 1 Get 2 For Free \u2013 Kids\u2019 Shoes\u00a0! 
27,positive,Hey #Brooklyn are going back to their favorite shopping center
28,neutral,"My coworkers just said I dress like a Cambodian mom working at a garden \ud83e\udd37\ud83c\udffb\u200d\u2642\ufe0f I said they look like JCPenney ads from 1998."""
29,neutral,"Tonight Travis Kelce went shopping with 25 kids for a JCPenney Giving Spree event Each child got a gift card to shop for\u2026"""
30,neutral,walked in and walked out
31,positive,was the exact same experience Exact Clothes mixed together on racks
32,positive,Best part of the holiday season? Giving back \ud83e\udd17 \n\nThis year 's Giving Sprees are set to reach 1
33,negative,"\""Ad\ JCPenney 14k Gold Twisted Hoops New In Box"
34,neutral,Staten Island Advance Historic Page from Oct 2
35,neutral,"This could be use but we\u2019re all hibernating _x """
36,neutral,Kenny Stills
37,positive,Be sure to check out all my last minute Christmas shopping
38,neutral,NYC VIBE joined as he teamed up with to spread holiday cheer by helping kids from across the U.\u2026 
39,positive,Joe Jonas kicked off #JCPenney\u2019s Giving Spree event by surprising twenty-five kids from the NYC Metro #YMCAs with a\u2026 
40,positive,Happy holidays from me and my friend\u2019s dog
41,neutral,#NYCVIBE joined Joe Jonas as he teamed up with #JCPenney to spread holiday cheer See our coverage \n
42,negative,_online NYC VIBE spent the afternoon shopping at JCPenney in Herald Square with Grammy nominated artist and ac\u2026 
43,neutral,now it\u2019s Nate from JCPenney bitchs 
44,neutral,NYC VIBE joined Joe Jonas at JCPenney as he posed for pictures with fans.\u2026 
45,positive,~JC Penney Genuine Diamond Jewelry $25\n#thecrazyshoppingcart #jcp #jcpenney #deals #coupons #savings 
46,neutral,. is spot on Tis\u2019 the season for gifting out luggage COLLECTION by MICHAEL STRAHAN Slate Hardside Spinner L\u2026 
47,neutral,"NYC VIBE joined as he teamed up with to spread holiday cheer by helping kids from across the U.S and P\u2026"""
48,positive,"Joe Jonas kicked off #JCPenney\u2019s Giving Spree event by surprising twenty-five kids from the NYC Metro #YMCAs with a once-in\u2026"""
49,positive,Why would staff there watch department with somebody who isn\u2019t comfortable taking links out of watch band\u2026 
50,neutral,You can return the items to any JCPenney retail store at the .com customer service desk Just them\u2026 
51,neutral,I bought a comforter from After a week
52,neutral,_Regulated_ A member of our well regulated militia
53,neutral,Was Pence there Wait a minute
54,negative,"SPRING AHEAD FALL BEHIND CHANGE THOSE CLOCKS AND RAISE YOUR WARDROBE GAME RETWEET IF YOU\u2019RE READY TO BUY SOME NEW MS\u2026"""
55,positive,Even as the clocks change the qualities of a successful person remain the same You have integrity
56,neutral,"Send your cockeyed daughter to JCPenney she will be looking for a job soon"""
57,neutral,Discover Peyton &amp Parker\u2014a celebration of family through curated
58,neutral,CHRISTMAS SHOPPING FOR FRIENDS &amp FAMILY SEPHORA INSIDE JCPENNEY GIVEAWAY 
59,neutral,Huh Well
60,neutral,Santa Kelce Chiefs\u2019 Travis Kelce shops with YMCA kids at JCPenney holiday event 
61,positive,I liked a video 
62,neutral,. star shopping with kids tonight at in Independence 
63,neutral,T Kenny Stills
64,negative,Travis Kelce spent time with 25 YMCA kids at JCPenney last night \n\nYou\u2019re going to want to see this video\n\n
65,negative,Travis Kelce spent time with 25 YMCA kids at JCPenney last night \n\nYou\u2019re going to want to see this video\n\n
66,positive,enter Travel Essentials giveaway to #Win items from Baby 
67,neutral,I'm at in Youngstown
68,negative,"So annoying when you buy something online from six days ago and the same item is now $20 cheaper \ud83d\ude20"""
69,neutral,_Mosby now it\u2019s Nate from JCPenney bitchs 
70,positive,We are proud to announce our BRAND NEW partnership with to offer our products on 
71,neutral,Ran to Walmart at lunch to get a hard-to-find Xmas toy for Willie they happened to have in stock Reminded me of th\u2026 
72,neutral,NYC VIBE joined Joe Jonas as he teamed up with JCPenney to spread holiday cheer See o\u2026 
73,positive,Holiday parties the perfect time to play up your makeup \u2728 Use Anastasia Beverly Hills\u2019 Loose Glitter to add high-\u2026 
74,neutral,i placed an order on Saturday. received an email the items were back ordered &amp i would receive t\u2026 
75,neutral,En JCPenney (McAllen
76,neutral,I purchased a pair of boots based on your ad for the sale price
77,neutral,Thank you and of the for giving our Y kids at Wyatt Academy and Garden Place Elementa\u2026 
78,neutral,delivery I lost my order but phone is 7606101868 delivery was supposed to be Dec 11 I thought can you\u2026 
79,neutral,While playing with investment $
80,positive,Guess I won't be getting new boots from this year after all They got lost in transit
81,neutral,"can you pls support our robotics team our email is hhsrobopanthers2262 .com"""
82,neutral,"So JCPenney might go to Chapter 11 or 7 bankruptcy protection this is a big sign that JCPenney's might be going out of business"""
83,positive,Hey When I ordered my mom her coat it was in stock yet when it\u2019s ready to ship you cancel my order sa\u2026 
84,negative,Whats wrong with this item that we purchased 
85,neutral,En JCPenney (McAllen
86,positive,\ud83c\udf89 110 Grill Grand Opening \ud83c\udf89\n\ud83d\udcc6 December 13\n\u23f0 400 pm\n\ud83d\udccd Located on the Upper Level near JCPenney\n#holyokemall\u2026 
87,neutral,"Taking jcpenney orders Tap in"""
88,positive,"You look gorgeous isabela"""
89,neutral,"Hi Nicole You can visit your local JCPenney store on 12\/13-12\/15 when doors open to get one of these coupons."""
90,positive,employees are ringing the bell for We are proud of our dedicated volunteers at \u2026 
91,positive,\ud83c\udf89 110 Grill Grand Opening \ud83c\udf89\n\ud83d\udcc6 December 13\n\u23f0 400 pm\n\ud83d\udccd Located on the Upper Level near JCPenney\n#holyokemall \n\n
92,neutral,_183 Hello Mac
93,positive,Jcpenney Buy 1 Get 2 For Free Kids Shoes 
94,negative,Star Wars Ugly Christmas Sweaters on sale at !! Yes I certainly did buy BB8 AND it makes noise!!!\u2026 
95,positive,Family Photo! Teaming up with to surprise kids from the NYC has been a major highlight for me alre\u2026 
96,positive,"Family Photo! Teaming up with to surprise kids from the NYC has been a major highlight for me already this h\u2026"""
97,neutral,"joejonas COME TO MY JCPENNEY IN LOUISVILLE AT JEFFERSON MALL PLEASE I WORK THERE OMG"""
98,positive,"T Family Photo! Teaming up with to surprise kids from the NYC has been a major highlight for me already this h\u2026"""
99,neutral,"Cut your hair thank you"""
100,positive,"That's amazing \u2764"""
101,negative,"WHY DOES SHIT LIKE THIS HAPPEN AFTER I QUIT JCPENNEY"""
102,negative,not very cool of you to cancel my order because YOU messed up with inventory.. won\u2019t get my business aga\u2026 
103,positive,Make it a GREAT Christmas
104,neutral,McCain Mall will be hosting the Salvation Army Angel Tree this year on the upper level next to JCPenney The Angel\u2026 
105,neutral,It's time for holiday photos with Santa He'll be waiting for you at JCPenney Court To reserve your FastPass and\u2026 
106,neutral,It's time for holiday photos with Santa He'll be waiting for you at JCPenney Court \ud83c\udf85\ud83c\udffb To reserve your FastPass an\u2026 
107,positive,"There is nothing better than loving on kids great job and continue the love"""
108,positive,u201cFamily Photo! Teaming up with to surprise kids from the NYC has been a major highlight for me alr\u2026 
109,positive,"\u2018Tis the #SeasonOfShaq baby I spent a day in Dallas surprising Big &amp Tall guys with suits from my Shaquille O\u2019Neal XLG line \ud83d\udc54 an\u2026"""
110,neutral,"Annual Pearce Family portrait day at Wish me luck."""
111,positive,"Keep being your kind self"""
112,neutral,Santa Kelce Chiefs\u2019 Travis Kelce shops with YMCA kids at JCPenney holiday event #KansasCityChiefs 
113,neutral,We do this seemingly every 2 months
114,positive,BONUS CASH EVENT Shopping at Old Navy online Macy's or JCPenney Why not click to 
115,positive,"lol why can i never figure out how to quit from my jobs first jcpenney and now michael\u2019s \ud83d\ude44 can companies please make it easier to quit?"""
116,neutral,"Annual Pearce Family portrait day at Wish me luck."""
117,neutral,regret ordering my mattress from JCP
118,negative,Keeping my style game \ud83d\udcaf Shaquille O\u2019Neal XLG line exclusively at #AllAtJCP #Ad 
119,negative,Keeping my style game \ud83d\udcaf Shaquille O\u2019Neal XLG line exclusively at #AllAtJCP #Ad 
120,positive,"The best!!"""
121,negative,"looking sharp Shaq!"""
122,positive,"Shaq looking like the modern day Thanos"""
123,positive,Shaq we love you my brotha.. just an awesome man. successful dominant and outspoken black man...\u2026 
124,neutral,"Shaq I am begging you Get my dad out of prison"""
125,positive,"How many spools of thread does it take?"""
126,negative,"SHAQ Very sharp Sir Bless."""
127,neutral,"chasing that \ud83d\udcb0\ud83d\udcb0\ud83d\udcb0 with all these ads."""
128,neutral,"Dang shaq You taller than that Ferris wheel"""
129,positive,"Shaq does that fact your bigger then a Ferris wheel prove your still growing thanks"""
130,positive,"Very nice!!"""
