,FP,Tweet
0,positive,So good I had to share Check out all the items I'm loving on from â€
1,positive,Can't wait to try out my new 16 Color Eyeshadow Palette by Would u believe it's only $10.00 at ?â€
2,positive,Check out KOHL'S GLAZED CERAMIC TISSUE BOX COVER SUSSEX Retailed for $44.99 PRETTY #Kohls via
3,neutral,Yesterday's lewk #kohls #sorel #fitchick #fitisnewsexy #fitnessandhealth #fitforthewin #blackgirlmagicâ€
4,positive,I love this I am seriously a different size in every store
5,positive,There getting Rapped Up for our Holiday Fun so Keep Watching #25DaysOfChristmas/#25Days in the #DisneyNOW App and Oâ€
6,neutral,#KohlsCash #GiveJoyGetJoy and #GiveKohlsCozy!
7,negative,Hey #Kohls something is not right here.. #Vikings or #Ravens
8,negative,Silly me had to take a selfie with the giant #moose while shopping at #kohls tonight
9,neutral,Check out the math on my Kohl's order #math #CrazyReceipt #KohlsCash #Kohls #wheredidmymoneygo
10,positive,The first #Kohls department store opened in 1962 and has since grown to be a large retailer of fashion &amp home branâ€
11,neutral,playing Santa Moose at #Kohls
12,positive,#Kohls #clearance in just one click check out the awesome #Deals
13,positive,Yasss! Thanks to I was able to get these great stocks from #Kohls with my #kohlscash it's a fine timeâ€
14,neutral,Got these on sale at #Kohls plus used my Kohls cash they were only $13 #makeupbrushes
15,positive,#kohls shipped my wifeâ€™s package to wrong address Wonâ€™t fix the problem Happy Holidays Will be cancelling the aâ€
16,neutral,Getting to wrap Jeremy's Christmas pig I have a feeling it will be a big hit!
17,positive,#Kohls was cool metal detector that didnt work is returned... waited almost 4 hours at social security office...â€
18,neutral,Actual goals though #kohls knows my dream job #stayathomedogmom #mug
19,negative,I just had to leave the store w/out purchasing a cartful of ish because the wait was way too long Come on mâ€
20,neutral,Cuisinart Griddler Five with LCD Display $59.49 Shipped $10 Kohl's Cash #kohls
21,positive,Cant believe Im finally gonna try one of these babies So excited thanks #GiveJoyGetJoy #KohlsCashâ€
22,neutral,Your Sanity-Saving Shopping Guide to the Holiday Season #kohls #ad
23,positive,Being fluent in other languages besides English is so funny The inside jokes are HILARIOUS I.e yâ€™all ever see thâ€
24,positive,#GiveJoyGetJoy Thank you to #Kohls for sending a complimentary 10 in Kohls Cash I was able to get this toaster ovâ€
