,FP,Tweet
0,positive,sneak peek of the new box \ud83d\udc40\ud83d\udc40\n
1,neutral,"Are you having site issues? I have been trying to place an order for over an hour now"""
2,neutral,"are you having website issues? I have been trying to place an order for over an hour"""
3,positive,. Believe helped Collin\u2019s wish come true during #CMAchristmas when he walked the red carpet with a\u2026 
4,negative,T My son has had 3 active shooter drills at school since August.\n\nHe's in kindergarten 
5,neutral,"ol sir u getting in arguments with ya wife cuz u gone Macys tryna compete with me.... my Calvin's come from costco \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02"""
6,positive,". Believe helped Collin\u2019s wish come true during #CMAchristmas when he walked the red carpet with at the #C\u2026"""
7,positive,I hear best buy
8,negative,"close in 58 mins and they got the serious #POLO SALE GOING\u203c\ufe0f\u203c\ufe0f\u203c\ufe0f"""
9,positive,". Believe helped Collin\u2019s wish come true during #CMAchristmas when he walked the red carpet with at the #C\u2026"""
10,neutral,"i want to meet jalles i need a 1nd hug \ud83d\ude2d\ud83d\ude2d"""
11,positive,Had some really satisfying made_nice after a long and fun journey to see Santa at Watch the whole thing on\u2026 
12,neutral,"i want to meet _MJTheLegend i need a 2nd Hug \ud83d\ude2d\ud83d\ude2d\ud83d\udc94\ud83d\udc94\ud83d\udc99\ud83d\udc99"""
13,positive,\ud83d\udd25 FREE MACY'S MONEY GIVEAWAY 34
14,negative,Pack\/ship fail award to Wife bought 6 #Waterford crystal glasses
15,neutral,"i want to meet _MJTheLegend i need a 2nd Hug \ud83d\ude2d\ud83d\ude2d\ud83d\udc94\ud83d\udc94\ud83d\udc99\ud83d\udc99"""
16,positive,"The Friends Family #SALE ends Tonight! SAVE 30 off all your favorite Brands and Designers that rarely go on\u2026"""
17,positive,After a full day of #BloodTests #LACH _andree and I were so excited to do something #fun and\u2026 
18,neutral,"Sent and have not heard back?"""
19,negative,"Macys Common social media theme is you\u2019ve got customer service problems on your phone lines Solutions?"""
20,negative,acy\u2019s Green Monday Savings Instant Win\u00a0Game 
21,neutral,"Help us grant wishes across the country Write a letter to Santa and we\u2019ll donate $1 to (up to $1M to help give chil\u2026"""
22,negative,Im sorry but Macys storyline is so boring now I feel for their family situations but its not interesting enough fo\u2026 
23,neutral,Planning to practice letter writing and service with my #ELs through donation campaign\u2026 
24,negative,"Macys worst service one can imagine"""
25,positive,After a full day of #BloodTests #LACH done on #Boston
26,positive,"And we love this Our wish for Collin and all children is good health #CMAChristmas #Believe"""
27,neutral,Dropping that letter to Santa #MacysBelieve #WishKid #Happykid 
28,positive,And we love this Our wish for Collin and all children is good health #CMAChristmas #Believe 
29,neutral,Ok When I order an expensive jacket
30,neutral,unham Cotton Bath Towels $2.99 Each (Save $11.01! 
31,positive,"T . Believe helped Collin\u2019s wish come true during #CMAchristmas when he walked the red carpet with at the #C\u2026"""
32,neutral,_C Dropping that letter to Santa #MacysBelieve #WishKid #Happykid 
33,positive,That\u2019s more shoulder
34,neutral,#MACYSWORRYNOMORE furniture protection plan that says they will fix or replace
35,neutral,The pudgy
36,neutral,"Never gonna order anything online every again from \ud83d\ude11"""
37,neutral,"over 2 weeks and counting trying to get our order I already sent a DM and Need my order for the holidays."""
38,neutral,"Give back this holiday season to the Every Thursday through Saturday up until Christmas stop by at\u2026"""
39,negative,I mean seriously This might be the last straw in a serious decline of customer service the last four visits\u2026 
40,neutral,also found out today that there is an elf emoji But the Legolas \ud83e\udddd\u200d\u2642\ufe0f type of elf
41,negative,#DavidDTSS \nListen My son has had 3 active shooter drills at school since August He's in kindergarten.\u2026 
42,neutral,wth
43,positive,\u201cIn Dreams\u201d\n\nJust want to say thanks again to z100newyork
44,neutral,"Yandy's living room still looks like one of those furniture showrooms at Macys #LHHNY #LAHHNY"""
45,neutral,Macy's Shop Fashion Clothing &amp Accessories Official Site 
46,neutral,Macys #newyork #newyorkcity #nyc #christmas #pictureoftheday #pic #shopping #travel via 
47,positive,"Beautiful! What a fine handsome young man he is ."""
48,negative,your customer service is terrible Absolutely terrible Our couch has not come and nobody has helped 3 hour\u2026 
49,neutral,T .
50,neutral,I can\u2019t believe I sat on hold with for 30 mins and now an hour later I still have no promised email of my re\u2026 
51,neutral,"T @\u2026"""
52,neutral,We were in Macys yesterday
53,neutral,For every letter written to Santa
54,positive,"Thanks She enjoyed writing the letter."""
55,negative,ABCNetwork Don't make me like #macys I have horrible memories of NYC when my sis &amp aunts swore\u2026 
56,positive,We got the 5 star treatment of being able to have front row seating and get a up close look of Emme and the models 
57,neutral,2-Piece Lenox Butterfly Meadow Holiday Dinnerware Set Poinsettias and Jasmine Design $69.99 Macy's (After 30 Of\u2026 
58,positive,"love this part of the show each year So Awesome!!!\u2665\ufe0f\ud83c\udf84"""
59,negative,A little change of pace The Sunbather in front of Macys Work in progress 
60,neutral,Fix your website
61,neutral,Hey do you guys carry this in your stores I don\u2019t know how I feel about this \u201conline shopping\u201d thing 
62,neutral,believing is seeing at Macys Herald Square SantaLand \n#Christmas 
63,positive,"This is too cute!"""
64,positive,"Thank you to &amp everyone who made this past National #MacysBelieve Day a huge success Help us grant even more wishes\u2026"""
65,positive,"So precious \ud83d\ude07"""
